Systems & Process Analysis,,,Product,430,
,Freight Forwarding (OI / OE / AE / AI),,Solution,115,
,,Project Management,Project,10,PM
,,Present State - Process & Workflow,Project,0,
,,Review - Solutions Architect,Project,5,SA
,,Shipment/Consol Activities,Project,20,FC
,,Project Documentation,Project,15,BA
,,Future State - Process & Workflow (With Workshops),Project,0,
,,Design - Solutions Architect,Project,20,SA
,,Change Management Tasks (Workshops on Demand),Project,30,FC
,,Document - Solution Design (Options & Benefits),Project,15,BA
,Rate Management,,Solution,132,
,,Project Management,Project,12,PM
,,Present State - Process & Systems,Project,0,
,,Review - Solutions Architect,Project,5,SA
,,Import - Buy Rate Uploads,Project,15,FC
,,Air Export - Buy Rate Uploads,Project,15,FC
,,Ocean Export - Buy Rate Uploads,Project,15,FC
,,Project Documentation,Project,10,BA
,,Future State - Process & Systems (With Workshops),Project,0,
,,Design - Solutions Architect,Project,5,SA
,,Import Rates - Automation,Project,15,FC
,,Air Export - Automations,Project,15,FC
,,Ocean Export - Automation,Project,15,FC
,,Document - Solution Design (Options & Benifits),Project,10,BA
,Finance,,Solution,115,
,,Project Management,Project,10,PM
,,Present State - Process & Systems,Project,0,
,,Review - Solutions Architect,Project,5,SA
,,Chart of Accounts & Compliance,Project,20,FC
,,Project Documentation,Project,15,BA
,,Future State - Business Controls & Compliance (With Workshops),Project,0,
,,Design - Solutions Architect,Project,20,SA
,,Finance Automations (Workshops on Demand),Project,30,FC
,,Document - Solution Design (Options & Benefits),Project,15,BA
,Customs,,Solution,68,
,,Project Management,Project,6,PM
,,Present State - Process & Systems,Project,0,
,,Review - Solutions Architect,Project,2,SA
,,Export Customs,Project,10,FC
,,Import Customs,Project,10,FC
,,Project Documentation,Project,15,BA
,,Future State - Process & Workflow,Project,0,
,,Design - Solutions Architect,Project,10,SA
,,Document - Solution Design,Project,15,BA
,Warehousing,,Solution,0,
,Registry Settings,,Solution,0,
,Transportation,,Solution,0,
Workshops,,,Product,0,
,Freight Forwarding,,Solution,0,
,,Project Management,Project,0,
,,Carrier Messaging,Project,0,
